message_key,message_text,locale,deleted,version
msg.form.lead.industry,Industry,en_US,FALSE,0
msg.form.lead.designation,Designation,en_US,FALSE,0
msg.form.lead.website,Website,en_US,FALSE,0
msg.form.lead.annual_revenue,Annual Revenue,en_US,FALSE,0
msg.form.lead.no_of_emp,No Of Employees,en_US,FALSE,0
msg.form.lead.twitter,Twitter,en_US,FALSE,0
msg.form.lead.facebook,Facebook,en_US,FALSE,0
msg.form.lead.email_opt_put,Email Opt Out,en_US,FALSE,0
msg.form.lead.dummy,dummy,en_US,FALSE,0
msg.form.lead.street,Street,en_US,FALSE,0
msg.form.lead.zip,Zip,en_US,FALSE,0
msg.form.lead.po_box,PO Box,en_US,FALSE,0
msg.form.lead.state,State,en_US,FALSE,0
msg.form.lead.city,City,en_US,FALSE,0
msg.form.lead.country,Country,en_US,FALSE,0
msg.form.lead.description,Description,en_US,FALSE,0
msg.form.contact.description,Description,en_US,FALSE,0

msg.form.button.lead.save,Save,en_US,FALSE,0
msg.form.button.lead.list,List,en_US,FALSE,0
msg.form.button.lead.new,New,en_US,FALSE,0
msg.form.button.lead.edit,Edit,en_US,FALSE,0
msg.form.button.lead.copy,Copy,en_US,FALSE,0
msg.form.button.lead.delete,Delete,en_US,FALSE,0
msg.form.button.lead.convert,Convert,en_US,FALSE,0

msg.form.lead.basicinfo,Basic Information,en_US,FALSE,0
msg.form.contact.basicinfo,Basic Information,en_US,FALSE,0
msg.form.activity.basicinfo,Basic Information,en_US,FALSE,0

msg.form.lead.address,Address,en_US,FALSE,0
msg.form.contact.address,Address,en_US,FALSE,0


msg.form.lead.new,New Lead,en_US,FALSE,0
msg.form.lead.detail,Lead Details,en_US,FALSE,0
msg.form.lead.edit,Lead Edit,en_US,FALSE,0

msg.page.lead.new,New Lead,en_US,FALSE,0
msg.page.lead.details,Lead Details,en_US,FALSE,0
msg.page.contact.details,Contact Details,en_US,FALSE,0
msg.page.lead.edit,Edit Lead,en_US,FALSE,0
msg.page.lead.details.recycle, Lead Details - Recycle,en_US,FALSE,0
msg.page.lead.list, Lead List,en_US,FALSE,0
msg.page.lead.convert, Convert Lead ,en_US,FALSE,0
msg.page.lead.copy, Copy Lead,en_US,FALSE,0

msg.form.contact.desc, Description,en_US,FALSE,0
msg.list.lead.desc, Description,en_US,FALSE,0
msg.list.lead.label, Leads,en_US,FALSE,0
msg.list.button.lead.new, New,en_US,FALSE,0
